成交日期,证券代码,买卖标志,成交数量,成交价格
2021-04-15,601611.SHA,买入,100,8.25
2021-04-15,000978.SZA,卖出,100,6.16
2021-04-14,000978.SZA,买入,100,5.5
2021-04-13,002471.SZA,卖出,100,2.37
2021-04-13,600676.SHA,卖出,400,4.46
2021-04-12,002614.SZA,买入,28300,17.47
2021-04-09,300146.SZA,卖出,9100,30.73
2021-04-07,300307.SZA,卖出,28000,7.7
2021-04-02,600868.SHA,卖出,100,3.48
2021-04-02,600676.SHA,买入,400,4.72
2021-04-01,600868.SHA,买入,100,3.16
2021-04-01,002471.SZA,买入,100,2.48
2021-03-31,300146.SZA,买入,9100,27.87
2021-03-30,002238.SZA,卖出,100,6.07
2021-03-29,600188.SHA,卖出,18700,13.65
2021-03-26,600188.SHA,买入,18700,12.11
2021-03-26,300307.SZA,买入,28000,8.08
2021-03-25,002238.SZA,买入,100,6.47
2021-03-25,600178.SHA,卖出,67700,6.7
2021-03-24,600178.SHA,买入,67700,7.27
2021-03-24,000558.SZA,卖出,200,3.15
2021-03-23,603099.SHA,卖出,30100,8.42
2021-03-23,000629.SZA,卖出,107600,2.23
2021-03-15,000558.SZA,买入,200,3.11
2021-03-12,000629.SZA,买入,107600,2.3
2021-03-12,603099.SHA,买入,30100,8.2
2021-03-10,600691.SHA,卖出,187800,2.64
2021-03-08,600691.SHA,买入,187800,2.82
2021-03-01,600337.SHA,卖出,94800,5.59
2021-02-26,600337.SHA,买入,94800,6.11
2021-02-24,300459.SZA,卖出,154800,3.75
2021-02-22,300459.SZA,买入,154800,3.95
2021-02-19,600299.SHA,卖出,40400,15.15
2021-02-10,600299.SHA,买入,40400,13.33
2021-02-05,601058.SHA,卖出,60400,8.93
2021-02-02,601058.SHA,买入,60400,9.79
2021-01-26,002011.SZA,卖出,149300,3.97
2021-01-15,002011.SZA,买入,149300,4.01
2021-01-14,600098.SHA,卖出,100,6.0
2021-01-12,000518.SZA,卖出,100,4.73
2021-01-11,000966.SZA,卖出,200,3.69
2021-01-11,601898.SHA,卖出,137100,4.36
2021-01-08,601898.SHA,买入,137100,4.71
2021-01-08,603985.SHA,卖出,25400,25.45
2021-01-07,600098.SHA,买入,100,6.41
2021-01-07,000966.SZA,买入,200,4.06
2021-01-07,000518.SZA,买入,100,5.28
2021-01-05,603985.SHA,买入,25400,26.79
2020-12-30,002631.SZA,卖出,46300,7.4
2020-12-29,002506.SZA,卖出,81900,4.16
2020-12-24,002631.SZA,买入,46300,7.84
2020-12-24,002506.SZA,买入,81900,4.44
2020-12-22,000830.SZA,卖出,42200,12.39
2020-12-22,000919.SZA,卖出,27500,7.48
2020-12-21,000830.SZA,买入,42200,13.22
2020-12-17,002819.SZA,卖出,15600,35.7
2020-12-15,002819.SZA,买入,15600,37.7
2020-12-14,600569.SHA,卖出,80900,2.27
2020-12-14,601011.SHA,卖出,101000,4.03
2020-12-11,600569.SHA,买入,80900,2.47
2020-12-11,000919.SZA,买入,27500,7.26
2020-12-10,000949.SZA,卖出,121200,3.3
2020-12-08,601011.SHA,买入,101000,4.25
2020-12-08,000949.SZA,买入,121200,3.54
2020-12-07,000570.SZA,卖出,173700,4.95
2020-11-26,000570.SZA,买入,173700,5.26
2020-11-25,000963.SZA,卖出,32700,27.99
2020-11-19,000963.SZA,买入,32700,30.71
2020-11-16,600336.SHA,卖出,106900,9.41
2020-11-12,600336.SHA,买入,106900,8.32
2020-11-11,300752.SZA,卖出,48200,18.46
2020-11-11,000922.SZA,卖出,100,8.12
2020-11-06,000922.SZA,买入,100,8.65
2020-11-02,300752.SZA,买入,48200,19.55
2020-11-02,603536.SHA,卖出,46400,20.33
2020-10-30,603536.SHA,买入,46400,21.51
